Log Path,Build Record ID,ID,URL,Name,Test Environment,Last Result,Test Plan ID,Test Plan,Test Case ID,Test Case,Test Script ID,Default Test Script,Test Suite Execution Record ID,Test Suite Execution Records
,6097,1104037,https://rationalcld.dl.net/qm/service/com.ibm.rqm.integration.service.IIntegrationService/resources/SOL+%28Test%29/executionworkitem/urn:com.ibm.rqm:executionworkitem:1104037,About - Navigate to About,Unassigned,Failed,3930,WS+ 1.21.11 maintenance only regression test,173774,About - Navigate to About,84280,About - Navigate to About,1104163,About
,6097,1104038,https://rationalcld.dl.net/qm/service/com.ibm.rqm.integration.service.IIntegrationService/resources/SOL+%28Test%29/executionworkitem/urn:com.ibm.rqm:executionworkitem:1104038,About - Reboot Server,Unassigned,Failed,3930,WS+ 1.21.11 maintenance only regression test,173837,About - Reboot Server,84278,About - Reboot Server,1104163,About
,6097,1104039,https://rationalcld.dl.net/qm/service/com.ibm.rqm.integration.service.IIntegrationService/resources/SOL+%28Test%29/executionworkitem/urn:com.ibm.rqm:executionworkitem:1104039,About - Navigate to Datalogic,Unassigned,Failed,3930,WS+ 1.21.11 maintenance only regression test,173839,About - Navigate to Datalogic,84281,About - Navigate to Datalogic,1104163,About
