Log Path,Build Record ID,ID,URL,Name,Test Environment,Last Result,Test Plan ID,Test Plan,Test Case ID,Test Case,Test Script ID,Default Test Script,Test Suite Execution Record ID,Test Suite Execution Records
,6097,1104014,https://rationalcld.dl.net/qm/service/com.ibm.rqm.integration.service.IIntegrationService/resources/SOL+%28Test%29/executionworkitem/urn:com.ibm.rqm:executionworkitem:1104014,Directory Management - Scheduler Page - Cancel Closes Edit Modal,Unassigned,,3930,WS+ 1.21.11 maintenance only regression test,173802,Directory Management - Scheduler Page - Cancel Closes Edit Modal,84249,Directory Management - Scheduler Page - Cancel Closes Edit Modal,1104162,Directory Management
,6097,1104033,https://rationalcld.dl.net/qm/service/com.ibm.rqm.integration.service.IIntegrationService/resources/SOL+%28Test%29/executionworkitem/urn:com.ibm.rqm:executionworkitem:1104033,Directory Management - Properties Page - Edit Property File,Unassigned,,3930,WS+ 1.21.11 maintenance only regression test,173833,Directory Management - Properties Page - Edit Property File,84245,Directory Management - Properties Page - Edit Property File,1104162,Directory Management
,6097,1104037,https://rationalcld.dl.net/qm/service/com.ibm.rqm.integration.service.IIntegrationService/resources/SOL+%28Test%29/executionworkitem/urn:com.ibm.rqm:executionworkitem:1104037,About - Navigate to About,Unassigned,,3930,WS+ 1.21.11 maintenance only regression test,173774,About - Navigate to About,84280,About - Navigate to About,1104163,About
,6097,1104038,https://rationalcld.dl.net/qm/service/com.ibm.rqm.integration.service.IIntegrationService/resources/SOL+%28Test%29/executionworkitem/urn:com.ibm.rqm:executionworkitem:1104038,About - Reboot Server,Unassigned,,3930,WS+ 1.21.11 maintenance only regression test,173837,About - Reboot Server,84278,About - Reboot Server,1104163,About
,6097,1104039,https://rationalcld.dl.net/qm/service/com.ibm.rqm.integration.service.IIntegrationService/resources/SOL+%28Test%29/executionworkitem/urn:com.ibm.rqm:executionworkitem:1104039,About - Navigate to Datalogic,Unassigned,,3930,WS+ 1.21.11 maintenance only regression test,173839,About - Navigate to Datalogic,84281,About - Navigate to Datalogic,1104163,About
